cleaned_term,source_code,source_term,mapped_concept_id,mapped_concept_name,mapped_rationale
"Mental and behavioural disorders due to multiple drug use and other psychoactive substances, amnesic syndrome",1410524,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, amnesic syndrome",37312034,Amnestic disorder caused by psychoactive substance,"The source term describes an amnestic (amnesic) syndrome that is specifically induced by the use of multiple drugs and other psychoactive substances. Concept 37312034 “Amnestic disorder caused by psychoactive substance” captures exactly an amnestic disorder whose etiology is a psychoactive substance (which can include multiple substances). It preserves the key clinical details (amnestic syndrome + psychoactive substance causation) without adding or omitting specificity. All other candidates are either too broad (e.g., drug-induced without specifying psychoactive) or too narrow/specific to a particular substance (e.g., alcohol, sedative, cocaine), so they do not meet the exact-match requirement."
Sexual relationship disorder,1411019,Sexual relationship disorder,35623653,Sexual relationship problem,"The source term denotes a disturbance/difficulty within the sexual relationship between partners. The SNOMED concept 35623653 ""Sexual relationship problem"" explicitly represents problems within a sexual relationship, matching the scope and clinical intent of the source term without adding or omitting specifics. Other candidates are either broader (e.g., ""Sexual disorder"", ""Sexuality related problem"") or refer to different or more specific conditions (e.g., sexual desire, arousal, pain, abusive relationships). Therefore, concept 35623653 is the exact clinical equivalent."
Mild mental retardation,1411039,"Mild mental retardation, Without mention of impairment of behaviour",432612,Mild intellectual disability,"Concept 432612 ""Mild intellectual disability"" is clinically synonymous with ""Mild mental retardation"" (IQ 50-70). It has identical severity and scope, with no additional behavioral qualifiers, thereby preserving specificity without over- or under-specifying the source term. No other candidate offers a closer or more exact match."
Intracranial inflammatory granuloma,1411316,Intracranial inflammatory granuloma (machine translation),43530721,Intracranial granuloma,"""Intracranial granuloma"" (concept_id 43530721) exactly captures a granulomatous inflammatory lesion located within the cranium. All granulomas are, by definition, inflammatory, so the term fully preserves the clinical content of the source without adding or omitting details. Other candidates are either more specific (e.g., subdural, epidural, fungal) or involve different locations (spinal) or are too broad (general head inflammation). Therefore, 43530721 is the precise equivalent."
Intraspinal abscess and granuloma,1411320,Intraspinal abscess and granuloma,-1,no_match,"The source term specifies two distinct but related pathologies (abscess AND granuloma) occurring in the intraspinal region. None of the candidate concepts simultaneously include both conditions at that location. Candidates such as 'Spinal cord abscess' or 'Intraspinal granuloma' cover only one component, while 'Intracranial and intraspinal abscesses' omits granuloma and adds an additional location (intracranial). Therefore no exact clinical equivalent is present among the provided concepts."
Pick's disease dementia,1411507,Pick's disease dementia (machine translation),44782710,Dementia due to Pick's disease,"The source term denotes dementia caused by Pick's disease. The target concept 44782710 (""Dementia due to Pick's disease"") expresses exactly the same clinical entity—dementia that is etiologically linked to Pick’s disease—without adding or omitting details. Other candidates are either broader (e.g., Frontotemporal dementia) or add extra pathological specifics (e.g., Pick's disease with Pick bodies). Thus concept_id 44782710 is the precise match."
Pseudo-pterygium,1412542,Pseudo-pterygium (machine translation),377564,Pseudopterygium,"The SNOMED concept ""Pseudopterygium"" (concept_id 377564) exactly matches the source term in both wording and clinical meaning. It represents the same ocular condition without adding or omitting any clinical details (such as laterality or subtype). Other candidates are either more general (e.g., ""Disorder of conjunctiva"") or represent different entities (""Pterygium"", which is distinct from pseudopterygium) or add extra specificity (laterality, bilateral). Therefore, concept 377564 is the precise equivalent."
Eye tumor,1413053,Eye tumor (machine translation),4160345,Neoplasm of eye proper,"The source term denotes any tumor (benign or malignant) arising within the eye itself, without specifying laterality, malignancy, or specific intra-ocular structure. SNOMED concept 4160345 ""Neoplasm of eye proper"" is defined as a neoplasm of the eye and has synonyms including ""Tumor of eye"" that exactly match the source wording. It carries the same level of specificity (eye proper, unspecified type) and is neither broader (e.g., entire eye region) nor narrower (e.g., retina only, malignant only, unilateral). Therefore it is an exact clinical equivalent."
Rotator cuff syndrome,1420635,Rotator cuff syndrome,-1,no_match,"None of the candidate concepts is an exact equivalent. The options that include “rotator cuff syndrome” all specify laterality (right, left, bilateral), adding detail that is not present in the source term; this violates the ‘do not over-specify’ rule. The more general options such as “Disorder of rotator cuff” are broader than the source term, violating the ‘do not broaden’ rule. Therefore, no acceptable exact match is available among the candidates."
Osseous stenosis of neural canal,1421301,Osseous stenosis of neural canal,4069651,Stenosis of spinal canal due to bone,"The source term describes narrowing (stenosis) of the neural/spinal canal specifically caused by osseous (bony) structures. Concept 4069651 is ""Stenosis of spinal canal due to bone,"" which exactly captures stenosis of the spinal (neural) canal attributable to bone. It preserves the same anatomic site (spinal/neural canal) and etiology (osseous), with no added or missing specificity. Therefore it is an exact clinical equivalent."
